ID	Name	Institution	Group_or_Lab	PI	City	Country	Contract_Type	Duration	Salary_EUR_Year	Start_Date	Status	Open_Date	Deadline	Days_Left	Requirements_Key	Fit_1_5	Fit_Rationale	Competition_Level	Competition_Basis	Effort_Estimate	Confidence	Last_Verified	First_Seen	Last_Updated	Change_Flag	Next_Action	Owner_Status	URL	Source_Note
P-0011	Postdoctoral positions in human population genetics, complex disease and cancer	Albert Einstein College of Medicine	No identificado		New York, NY	USA	Postdoc				OPEN				Experiencia en GWAS y puntuaciones de riesgo poligenico en poblaciones de ascendencia diversa (segun resumen del listado; pagina no abierta)	3	GWAS plus polygenic risk scores in diverse-ancestry populations is squarely the toolkit she runs independently, and cross-ancestry PRS transferability is a growth area where her psychiatric-genetics angle would transfer rather than restart. But almost everything else is unknown: no PI named, no group, no deadline, no salary, and no confirmation of what fraction is cancer versus complex disease - and neither her line 2 nor line 3 appears, so she would be pivoting phenotype. As a US post it needs J-1 or H-1B sponsorship, which Einstein routinely does but which the listing did not confirm. Given her currently light publication record, an unnamed-PI US advert is a weak use of application effort compared with a targeted approach to a lab whose papers she can name. Logged at 3 for the technique overlap, with the caveat that a human must verify it before anyone spends effort on it.	UNKNOWN	Informacion insuficiente: el anuncio no se pudo abrir	M	UNVERIFIED	2026-08-23	2026-08-23	2026-08-23	NEW	La duena debe abrir la URL de Nature Careers manualmente e identificar al PI; si trabaja en fenotipos psiquiatricos o conductuales, ascender a elemento de seguimiento, y si no, descartar. En cualquier caso no es accionable antes de mediados de 2027.	NEW	https://www.nature.com/naturecareers/job/postdoctoral-positions-in-human-population-genetics-complex-disease-and-cancer-in-new-york-city-usa-albert-einstein-college-of-medicine-einstein-757285	Rama 2, Nature Careers (SRC-0003); fetch bloqueado (HTTP 400), contenido solo desde el resumen de busqueda.
P-0012	Junior Research Data Scientist	King's College London	NIHR BioResource Centre Maudsley, Social, Genetic & Developmental Psychiatry (SGDP) Centre		London	United Kingdom	Duracion determinada	2026-10-01 a 2029-09-30, prorrogable segun financiacion	45000-50500 aprox (GBP 39076-43909 incl. London Weighting)	2026-10-01	CLOSED	2026-08-20	2026-09-03		Titulacion cuantitativa o experiencia equivalente (no exige doctorado); R o Python, SQL, limpieza de datos, REDCap/Qualtrics; deseable Git, Snakemake/Nextflow/Singularity, datos genomicos y longitudinales	2	Right centre - SGDP is the UK home of psychiatric and behavioural genetics - but wrong role and wrong clock: a data-engineering post that does not require a PhD, starting 2026-10-01 while she is still in residency, and a step sideways from research.	MEDIUM	El listón de entrada sin doctorado amplia el grupo de candidatos, pero la mezcla de competencias (SQL, pipelines reproducibles, plataformas de datos de investigacion) lo estrecha	S	LIKELY	2026-09-07	2026-08-23	2026-09-07	UPDATED	Sin solicitud. Se conserva como prueba de que KCL SGDP / NIHR BioResource Maudsley contrata personal cuantitativo con regularidad: crear una alerta en jobs.ac.uk con King's College London + Social, Genetic para anuncios de grado postdoc a partir de finales de 2027.	NEW	https://www.jobs.ac.uk/job/DSR260/junior-research-data-scientist	Rama 2, 2026-09-07: plazo 03-09-2026 vencido y no reaparece en ninguna de las cinco busquedas tematicas de jobs.ac.uk. Base = plazo vencido, no se abrio la pagina del anuncio.
P-0013	Postdoctoral Research Associate in Epidemiology and Health Data Science	Queen Mary University of London	Centre for Primary Care, Wolfson Institute of Population Health		London	United Kingdom	Duracion determinada		44200-59500 aprox (GBP 38419-51755)		CLOSED	2026-08-05	2026-09-06		Doctorado obtenido o proximo en epidemiologia, ciencia de datos en salud, estadistica o bioinformatica; datos longitudinales de salud a gran escala en R; deseable historia clinica del NHS enlazada, entornos seguros de investigacion, fragilidad/diabetes, datos genomicos y puntuaciones poligenicas	2	Genomics and PRS appear only as desirable extras on what is fundamentally an NHS electronic-health-record epidemiology post in primary care, so it uses her MD more than her statistical genetics, and it closes 2026-09-06, long before she is available.	MEDIUM	Elegibilidad cuantitativa amplia y grado postdoc estandar de Londres	M	VERIFIED	2026-09-07	2026-08-23	2026-09-07	UPDATED	Sin accion. Se conserva solo para dejar constancia de que el Wolfson Institute of Population Health combina a veces epidemiologia de historia clinica con puntuaciones poligenicas, un nicho MD + genetica estadistica plausible que conviene revisar en 2027.	NEW	https://www.jobs.ac.uk/job/DSM851/postdoctoral-research-associate-in-epidemiology-and-health-data-science	Rama 2, 2026-09-07: anuncio DSM851 de QMUL Wolfson Institute of Population Health visto en jobs.ac.uk con fecha de cierre 06 Sep 2026, ya pasada. Convocatoria agotada.
P-0014	Research Assistant (Moondance Dementia Laboratory)	Cardiff University	Division of Psychological Medicine and Clinical Neurosciences (misma division que el MRC Centre for Neuropsychiatric Genetics and Genomics)		Cardiff	United Kingdom	Research Assistant		39000-42100 aprox (GBP 33951-36636)		OPEN		2026-09-17		Trabajo de evaluacion patologica en un laboratorio de demencia: banco y neuropatologia, no genetica estadistica	2	Right division and right university but the wrong work - dementia neuropathology at the bench, not GWAS/PRS - and it closes 2026-09-17, nine months before she is available.	MEDIUM	Puesto de grado Research Assistant en el Reino Unido; volumen de candidaturas estandar	S	UNVERIFIED	2026-09-07	2026-08-23	2026-09-07	UPDATED	Sin accion. Lo util es la URL de vacantes de Cardiff que si funciona: revisarla desde mediados de 2027 buscando plazas de Research Associate en genetica estadistica del MRC CNGG.	NEW	https://cardiffuniweb.eploy.net/vacancies/vacancy-search-results.aspx?culture=en-GB	Rama 2, 2026-09-07: NO CONFIRMADO. El portal eploy de Cardiff responde en https://cardiffuniweb.eploy.net/vacancies/ pero solo devuelve la pagina 1 de 3 y la paginacion (?page=2) reenvia a la 1, asi que no se pudo ver el listado completo. En esa pagina 1 no hay nada de Moondance ni del MRC Centre for Neuropsychiatric Genetics; si hay un 'Research Assistant/Associate (Statistics)' del Centre for Trials Research, ref 459, con cierre 17-09-2026, la MISMA fecha de P-0014: posible confusion de identidad, sin resolver.
P-0015	Clinical Research Associate (IoPPN)	King's College London	Institute of Psychiatry, Psychology & Neuroscience (IoPPN), Denmark Hill		London	United Kingdom	Clinical Research Associate				CLOSED		2026-08-27		Puesto clinico en el IoPPN; los puestos clinicos de KCL exigen normalmente registro GMC en el Reino Unido	2	Her MD makes her nominally eligible for an IoPPN clinical research post, but it closes in four days, it is clinical rather than statistical-genetics work, and UK clinical registration plus her residency running to 2027-05-22 rule it out.	UNKNOWN	No evaluado	S	LIKELY	2026-09-07	2026-08-23	2026-09-07	UPDATED	Sin accion. Se registra para dejar constancia de que el IoPPN si anuncia puestos de investigacion de via clinica, un carril que merece vigilancia por su titulo de medicina a partir de mediados de 2027.	NEW	https://www.kcl.ac.uk/jobs/154086-clinical-research-associate	Rama 2, 2026-09-07: plazo 27-08-2026 vencido; no figura ya en las busquedas de jobs.ac.uk. Base = plazo vencido.
P-0016	Clinical Research Fellow (IoPPN)	King's College London	Institute of Psychiatry, Psychology & Neuroscience (IoPPN), Denmark Hill		London	United Kingdom	Clinical Research Fellow				CLOSED		2026-09-01		Beca clinica en el IoPPN; normalmente exige registro clinico en el Reino Unido	2	Same as the IoPPN Clinical Research Associate above - an MD-track research post at exactly the right institute, but closing 2026-09-01 and requiring UK clinical registration she does not hold.	UNKNOWN	No evaluado	S	LIKELY	2026-09-07	2026-08-23	2026-09-07	UPDATED	Sin accion mas alla de anotar el patron: el IoPPN mantiene un flujo constante de puestos de clinico-investigador. Revisar desde mediados de 2027.	NEW	https://www.kcl.ac.uk/jobs/155765-clinical-research-fellow	Rama 2, 2026-09-07: plazo 01-09-2026 vencido. OJO: KCL Psychological Medicine tiene ahora un Clinical Research Fellow con cierre 18-09-2026 (DST268) que podria ser su reedicion; se registra como fila nueva y queda por confirmar si es el mismo puesto.
P-0017	Research Officer - Experimental Biology and Surveillance Innovation	QIMR Berghofer Medical Research Institute	Experimental Biology and Surveillance Innovation		Brisbane	Australia	Research Officer				OPEN				Cientifico experimental de laboratorio humedo (ref BV000084)	1	Wet-lab experimental biology with nothing to do with her statistical-genetics profile - logged only to record that QIMR's portal held no relevant vacancy on 2026-08-23.	UNKNOWN	No evaluado	S	VERIFIED	2026-08-23	2026-08-23	2026-08-23	NEW	Sin accion. La jugada real en QIMR es la via de contacto personal, no el portal.	NEW	https://qimrberghofer.turborecruit.com.au/job/job_details.cfm?id=581998	Rama 3. Portal TurboRecruit propio de QIMR (Tier 1). Solo habia DOS vacantes en todo el instituto el 2026-08-23 (esta y una administrativa), ninguna en Mental Health & Neuroscience.
P-0018	Clinical Research Fellow (Psychological Medicine)	King's College London	Department of Psychological Medicine, IoPPN		London	United Kingdom	Clinical research fellowship (post asalariado)		53000		OPEN		2026-09-18		Titulo de medicina; investigacion clinica en salud mental; probable exigencia de registro GMC en RU	3	(a) Encaja por el lado MD del combo: es un puesto de medico investigador en Psychological Medicine del IoPPN, el entorno britanico mas fuerte en genetica psiquiatrica (SGDP a un pasillo), y ahi su perfil MD+PhD en genetica estadistica de rasgos complejos vale mas que un CV bibliometrico corto. (b) Candidatura tipica: CV, carta, dos referencias y entrevista clinica; trabajo real S, pero el plazo del 18-09-2026 lo hace irrelevante en la practica. (c) Salario publicado 45.943 GBP anuales sin London Weighting (~53.000 EUR al cambio aproximado; la cifra oficial es la libra). (d) Sin problema de visado por nacionalidad UE solo a medias: RU ya no es libre circulacion, haria falta Skilled Worker visa, y un Clinical Research Fellow suele exigir registro GMC, que ella no tiene. (e) NO PUEDE PRESENTARSE: sigue en residencia MIR hasta el 22-05-2027 y su tesis no se defiende hasta feb-2028. El valor de la fila es el canal: KCL IoPPN saca Clinical Research Fellow de forma recurrente (P-0016 cerro el 01-09-2026 y este anuncio aparece con plazo 18-09-2026), asi que conviene volver a mirarlo en 2027.	HIGH	IoPPN es destino de primer nivel en salud mental y el puesto admite a cualquier medico con interes investigador en RU	S	LIKELY	2026-09-07	2026-09-07	2026-09-07	NEW	En marzo de 2027 revisar jobs.ac.uk con el filtro de empleador KCL y comprobar si esta convocatoria se ha repetido con plazo compatible con mayo-2027	NEW	https://www.jobs.ac.uk/job/DST268/clinical-research-fellow	Rama 2 (tablones academicos). Leido en la pagina de resultados de jobs.ac.uk (busqueda 'psychiatric genetics', 2026-09-07); no se abrio el anuncio individual, de ahi LIKELY y no VERIFIED.
P-0019	Postdoctoral Fellow in Neurogenetics	National Institute on Aging (NIH)			Bethesda, Maryland	USA	Postdoc intramural NIH				OPEN				Doctorado (o MD) y experiencia en genetica/genomica; anuncio dice salario acorde a experiencia	3	(a) Es genetica humana computacional en el intramural del NIH, adyacente a su linea 1 (genetica estadistica de rasgos complejos): las cohortes de neurogenetica del NIA trabajan con GWAS y scores poligenicos, que es exactamente lo que ella maneja de forma independiente con PLINK y R. No exige neuroimagen ni electrofisiologia autonomas, que es donde su formacion es solo supervisada. (b) Candidatura NIH intramural: CV, carta de investigacion y tres cartas de referencia, y el proceso es rodante mas que por plazo; esfuerzo real M por las cartas y el research statement. (c) Condiciones no publicadas mas alla de 'commensurate with experience': no se inventa cifra. (d) Requiere patrocinio de visado J-1 o similar, que el NIH tramita de forma rutinaria para postdocs extranjeros: es friccion, no barrera. (e) NO PUEDE PRESENTARSE AHORA: fin de residencia 22-05-2027 y defensa prevista feb-2028; ademas la pagina del anuncio devuelve 403 al fetch automatico y no se pudo leer nombre del laboratorio ni PI, asi que la fila queda UNVERIFIED a proposito. Su valor es marcar el intramural del NIA como canal permanente que hay que abrir a mano en 2027.	UNKNOWN	No se pudo abrir el anuncio; sin datos de numero de plazas ni de perfil buscado	M	UNVERIFIED	2026-09-07	2026-09-07	2026-09-07	NEW	Abrir a mano en navegador el anuncio 679674 de Science Careers antes de 2026-10-31 para capturar laboratorio, PI y correo de contacto, y guardarlos como gancho para escribir en Q3 2027	NEW	https://jobs.sciencecareers.org/job/679674/postdoctoral-fellow-in-neurogenetics/	Rama 2. Aparece en el buscador de Science Careers (query 'statistical genetics', 2026-09-07); la pagina de detalle devuelve HTTP 403 al fetch, un solo intento, no verificado.
P-0020	Postdoctoral Fellow - Statistical Genetics and Artificial Intelligence	Amgen deCODE genetics	Amgen R&D Postdoctoral Fellows Program	no nombrado en el anuncio	Reykjavik	Iceland	Postdoc (empleada a tiempo completo de Amgen)	4 anos (el programa Amgen contrata 3 anos ampliables a un cuarto)	no publicado	no publicado	OPEN	2026-08-22	no publicado (sin fecha de cierre anunciada)		Doctorado COMPLETADO antes de la fecha de inicio en estadistica, genetica humana, informatica, bioinformatica o matematicas; conocimiento profundo de genetica estadistica, bioestadistica o genomica computacional; publicaciones peer-reviewed y comunicaciones en congresos; Python o R; entornos HPC	4	Encaja de lleno con su linea 1 (genetica estadistica de rasgos complejos) y su linea 2 (GWAS/PRS): es un puesto metodologico sobre datos geneticos y biomedicos de escala poblacional en deCODE, justo donde ella trabaja sola con PLINK, R y pipelines GWAS/PRS; el componente de IA/machine learning es lo unico realmente nuevo y es aprendible desde su base. Islandia pertenece al EEE, asi que como ciudadana de la UE no necesita visado ni patrocinio: ventaja concreta frente a las plazas equivalentes de EEUU. Esfuerzo de candidatura medio (CV, carta, research statement en ingles C2 y referencias) por el portal Workday de Amgen; el punto debil real es el CV bibliometrico, porque el anuncio pide explicitamente logro cientifico demostrado con publicaciones peer-reviewed y ella tiene dos manuscritos en revision como primera autora y ninguna publicacion destacada, de modo que presentarse sin al menos uno aceptado seria debil. Salario no publicado. NO PUEDE presentarse a esta edicion: exige el doctorado completado ANTES de la fecha de inicio y su defensa es febrero de 2028 (ETA), ademas de que la residencia MIR no acaba hasta el 22-05-2027. El valor de la fila es el canal: el programa de postdoc de Amgen R&D es recurrente y deCODE saca plazas de genetica estadistica de forma repetida, asi que es un objetivo real para 2028. Sin PI nombrado; la via de contacto util es el portal de Amgen mas un correo al grupo de genetica estadistica de deCODE cuando tenga fecha de defensa cerrada.	HIGH	deCODE es uno de los destinos de referencia mundial en genetica estadistica y el anuncio pide expresamente publicaciones peer-reviewed y logro cientifico demostrado; el programa Amgen recluta a escala global.	M	LIKELY	2026-09-07	2026-09-07	2026-09-07	NEW	En Q3 2027, con la tesis depositada, mirar el portal careers.amgen.com (busqueda Postdoctoral) para la edicion siguiente y escribir al grupo de genetica estadistica de deCODE presentando su combo MD+PhD y sus pipelines GWAS/PRS.	NEW	https://jobrxiv.org/job/postdoctoral-fellow-statistical-genetics-and-artificial-intelligence/	Rama 5 (buzon y novedad), barrido de jobRxiv (SRC-0035) el 2026-09-07. Anuncio leido en jobRxiv (publicado 2026-08-22) y confirmado de forma independiente por researchersjob.com y por la pagina del programa de postdocs de Amgen; no se abrio la ficha del portal Workday de Amgen, de ahi LIKELY y no VERIFIED. CONFLICTO A VIGILAR: la pagina del programa Amgen R&D solo lista Thousand Oaks, San Francisco, Burnaby y Copenhague como sedes de postdocs, no Reykjavik, mientras el anuncio situa la plaza en Amgen deCODE genetics (Reykjavik); no se pudo reconciliar.
P-0021	Postdoctoral Scholar/Researcher in Statistical Genetics - Young Lab	University of California Los Angeles (UCLA)	Young Lab, Human Genetics	no nombrado en el anuncio (grupo Young Lab; verosimilmente Alexander S. Young, sin confirmar)	Los Angeles	USA	Postdoc	no publicado	no publicado en EUR; USD 69.073-82.836 al ano segun el anuncio	no publicado	CLOSED	2026-02-17	no publicado; el anuncio aparece marcado como caducado en jobRxiv a 2026-09-07		No detallados en el anuncio recuperado; puesto de genetica estadistica en genetica humana	4	Es un laboratorio de genetica estadistica de genetica humana en UCLA, exactamente su linea 1 y su linea 2 (metodos de GWAS/PRS), y el tipo de grupo donde su trabajo independiente con PLINK y R vale mas que su lista de publicaciones. La plaza concreta esta CERRADA (anuncio de febrero de 2026 marcado como caducado), asi que HOY NO PUEDE presentarse; ademas, aunque estuviera abierta, no podria: la residencia MIR la ata hasta el 22-05-2027 y su defensa es febrero de 2028 (ETA), y un postdoc estadounidense exige doctorado ya defendido. Implicacion de movilidad: EEUU requiere visado J-1 o H-1B con patrocinio de la universidad, tramite que UCLA hace de rutina pero que alarga meses el calendario. El valor de la fila es el canal y el gancho personal: es un grupo pequeno que contrata por convocatoria abierta en UCLA Recruit y que responde bien al contacto directo. Esfuerzo de candidatura tipico en EEUU: CV, research statement, tres cartas de referencia y a menudo un ejemplo de codigo o de analisis, es decir dias de trabajo real, no horas. Salario publicado en el rango USD 69.073-82.836.	HIGH	Postdoc de genetica estadistica en una universidad estadounidense de primer nivel, con candidaturas internacionales y sin restriccion de nacionalidad.	M	UNVERIFIED	2026-09-07	2026-09-07	2026-09-07	NEW	En Q1 2028, con fecha de defensa fijada, escribir al Young Lab de UCLA (via la pagina del grupo) ofreciendo su combo MD+PhD y su experiencia en GWAS/PRS, y vigilar UCLA Recruit por si reabre la plaza.	NEW	https://jobrxiv.org/?post_type=job_listing&p=117072	Rama 5 (buzon y novedad), barrido de jobRxiv (SRC-0035) el 2026-09-07. Solo se leyo la ficha agregada de jobRxiv, que declara el anuncio caducado; no se abrio ninguna pagina de UCLA, por eso UNVERIFIED y por eso el nombre del PI no se afirma.
P-0022	Clinical Research Associate (farmacogenomica clinica)	University of Alberta	Department of Psychiatry, Faculty of Medicine & Dentistry	no nombrado en el anuncio	Edmonton	Canada	Research & Research Support (hibrido)	1 ano inicial	no publicado en EUR; CAD 76.135-85.660 al ano segun el anuncio	no publicado	OPEN	no publicado	no publicado		Gestion de proyectos de farmacogenomica clinica, diseno de estudios, analisis de datos y preparacion de publicaciones	2	Puesto de apoyo a la investigacion de 1 ano en farmacogenomica clinica en Canada, con inicio inmediato imposible para ella (residencia hasta el 22-05-2027), visado con patrocinio necesario y contenido alejado de GWAS/PRS: se registra solo para no redescubrirlo y para dejar mapeado el canal del Department of Psychiatry de la Universidad de Alberta.	UNKNOWN	Sin datos publicados sobre numero de candidaturas ni sobre restricciones de residencia en Canada.	S	UNVERIFIED	2026-09-07	2026-09-07	2026-09-07	NEW	Ninguna accion antes de 2027; si en Q3 2027 interesa el carril farmacogenomico canadiense, revisar el portal de empleo de la Universidad de Alberta.	NEW	https://iaejup.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/UOA-Careers/job/3142/	Rama 5 (buzon y novedad), tablon de empleo de la ISPG (SRC-0030) el 2026-09-07. Los datos proceden del anuncio reproducido en el tablon de la ISPG; no se abrio el portal Oracle de la universidad, por eso UNVERIFIED.
